apple_1 "Jablko je symbolom zdravia."
apple_2 "Jablková štrúdľa je tradičný slovenský zákusok."
bike_1 "Bicykel je ideálny na výlety do prírody."
bike_2 "Na bicykli sa dostanem do práce rýchlejšie ako autom."
car_1 "Naše auto je pokazené, musíme ísť autobusom."
car_2 "Na Slovensku je povinné svietiť aj cez deň."
cat_1 "Moja mačka sa rada hrá s klbkom vlny."
cat_2 "Hovorí sa, že mačky majú deväť životov."
dog_1 "Môj pes je strážcom nášho domu."
dog_2 "Pes je verný spoločník."
motorcycle_1 "Motorka je nebezpečná, ak sa nejazdí opatrne."
motorcycle_2 "Na motorke je povinná prilba."
tree_1 "Stromy sú pľúcami našej planéty."
tree_2 "Pod stromom je príjemný chládok."
tucniak_1 "Tučniak je vták, ktorý nevie lietať."
tucniak_2 "Tučniak je čiernobiele zviera."
lenochod_1 "Leňochod je veľmi pomalé zviera."
lenochod_2 "Leňochod žije vysoko na stromoch."
bryndza_1 "Bryndza je slaný syr z ovčieho mlieka."
bryndza_2 "Bryndza sa dáva na halušky."
zincica_1 "Žinčica je kyslastý nápoj z ovčieho mlieka."
zincica_2 "Žinčica sa pije na salaši."
pistala_1 "Píšťala je dychový hudobný nástroj."
pistala_2 "Píšťala sa tradične vyrába z dreva."
kapustnica_1 "Kapustnica je tradičná slovenská polievka"
kapustnica_2 "Kapustnica sa varí na Vianoce."
gulas_1 "Guláš pochádza z Maďarska."
gulas_2 "Guláš sa varí v kotlíku na ohni."
hus_1 "Hus je domáce zviera."
hus_2 "Hus je vták bielej farby."
labut_1 "Labuť je vták s dlhým krkom."
labut_2 "Labuť žije pri jazerách a rybníkoch."
mamut_1 "Mamut sa v praveku lovil pre mäso."
mamut_2 "Mamut je vyhynuté zviera."
dinosaurus_1 "Dinosaurus je vyhynuté zviera."
dinosaurus_2 "Dinosaurus je obľúbenou detskou hračkou."
chladnicka_1 "Chladničku nájdeme zvyčajne v kuchyni."
chladnicka_2 "Chladnička uchováva potraviny v chlade."
mikrovlnka_1 "Mikrovlnka zohrieva jedlo."
mikrovlnka_2 "Mikrovlnku nájdeme zvyčajne v kuchyni."
teleskop_1 "Cez teleskop pozorujeme hviezdy."
teleskop_2 "Teleskop používa astronóm."
mikroskop_1 "Mikroskop sa používa v laboratóriu."
mikroskop_2 "Mikroskop zväčšuje obraz."
chobotnica_1 "Chobotnica má osem nôh."
chobotnica_2 "Chobotnica žije na dne mora."
rak_1 "Rak má tvrdý pancier."
rak_2 "Rak má klepetá, ktorými sa chráni."
kroj_1 "Kroj je tradičné oblečenie."
kroj_2 "Kroj je farebný a bohato vyšívaný."
zastera_1 "Zástera chráni oblečenie pred zašpinením."
zastera_2 "Zástera sa viaže okolo pása."
klavesnica_1 "Klávesnica sa používa pri práci na počítači."
klavesnica_2 "Klávesnica má písmená, čísla a znaky."
sluchadla_1 "Slúchadlá sa dávajú na uši."
sluchadla_2 "Cez slúchadlá počúvame hudbu."
hrable_1 "Hrable sú záhradné náradie."
hrable_2 "Hrable sa používajú na hrabanie suchého lístia."
kosa_1 "Kosa je náradie na kosenie trávy."
kosa_2 "Kosa musí byť dobre nabrúsená."
koruna_1 "Korunu nosí kráľ."
koruna_2 "Koruna sa nosí na hlave."
tron_1 "Trón je kreslo, na ktorom sedí kráľ."
tron_2 "Trón sa nachádza v paláci alebo na hrade."
mozog_1 "Mozog riadi celé telo."
mozog_2 "Mozog sa nachádza v hlave."
pluca_1 "Pľúca sú orgánom dýchania."
pluca_2 "Pľúca sú chránené rebrami."
pila_1 "Píla je náradie na rezanie dreva."
pila_2 "Pílu používa stolár."
sulance_1 "Šúľance sú tradičné múčne jedlo."
sulance_2 "Šúľance sa podávajú s makom alebo orechmi."
halusky_1 "Halušky sú slovenské národné jedlo."
halusky_2 "Halušky sa podávajú s bryndzou a slaninou."
meduza_1 "Medúza je morský živočích."
meduza_2 "Medúza má rôsolovité telo."
gajdy_1 "Gajdy sú dychový hudobný nástroj."
gajdy_2 "Gajdy majú charakteristický zvuk."
mixer_1 "Mixér je kuchynský spotrebič."
mixer_2 "Mixér slúži na miešanie."
demikat_1 "Demikát je tradičná slovenská polievka z bryndze."
demikat_2 "Demikát sa často podáva s opraženým chlebom."
kacka_1 "Kačka je vodný vták."
kacka_2 "Kačka pláva na jazere."
lokse_1 "Lokše sú zemiakové placky."
lokse_2 "Lokše sa jedia s masťou alebo makom."
lupa_1 "Lupa je nástroj na zväčšenie."
lupa_2 "Lupa pomáha čítať malé písmená."
mys_1 "Myš je malý hlodavec."
mys_2 "Mačka loví myši."
ostiepok_1 "Oštiepok je údený syr z ovčieho mlieka."
ostiepok_2 "Oštiepok má tvar vajíčka."
ryl_1 "Rýľ je nástroj na kopanie."
ryl_2 "Rýľom sa rýľuje záhrada."
slon_1 "Slon je veľké zviera s chobotom."
slon_2 "Slon žije v Afrike a Ázii."
srdce_1 "Srdce je orgán, ktorý pumpuje krv."
srdce_2 "Srdce je symbolom lásky."
tulen_1 "Tuleň je morský cicavec."
tulen_2 "Tuleň žije v studených moriach."
valaska_1 "Valaška je sekera s dlhým poriskom."
valaska_2 "Valaška je symbolom slovenských pastierov."
vesta_1 "Vesta je časť oblečenia bez rukávov."
vesta_2 "Vesta sa nosí na košeli."
zezlo_1 "Žezlo je symbol moci panovníka."
zezlo_2 "Kráľ drží v ruke žezlo."
