apple_1 "Јаболкото е здраво овошје."
apple_2 "Најмногу сакам да јадам црвени јаболка."
bike_1 "Возењето велосипед е забавно."
bike_2 "Мојот велосипед има корпа напред."
car_1 "Со автомобил патуваме на одмор."
car_2 "Мојот татко има нов автомобил."
cat_1 "Мачката е милениче кое сака да спие."
cat_2 "Мојата мачка е многу мека."
dog_1 "Кучето е најдобриот пријател на човекот."
dog_2 "Моето куче сака да си игра со топка."
motorcycle_1 "Моторот е брзо превозно средство."
motorcycle_2 "Мотоциклистите носат кациги за безбедност."
tree_1 "Дрвото дава сенка во лето."
tree_2 "Птиците градат гнезда на дрвјата."
ajvar_1 "Ајварот е вкусен намаз од пиперки."
ajvar_2 "Секоја есен правиме домашен ајвар."
burek_1 "Бурек со сирење е мојот омилен појадок."
burek_2 "Во Скопје има многу добри бурекчилници."
gajda_1 "Гајдата е традиционален македонски инструмент."
gajda_2 "Звукот на гајдата е многу специфичен."
gravce-tavce_1 "Гравче-тавче е национално македонско јадење."
gravce-tavce_2 "Најдоброто гравче-тавче го прави баба ми."
narodna_nosija_1 "Македонската народна носија е многу убава и разновидна."
narodna_nosija_2 "Секој регион во Македонија има своја народна носија."
alva_1 "Алвата е традиционален сладок десерт."
alva_2 "Постојат различни видови алва, со чоколадо или ф'стаци."
baklava_1 "Баклавата е многу сладок колач со ореви."
baklava_2 "За баклава се користи многу шербет."
vodici_1 "Водици е голем верски празник во Македонија."
vodici_2 "На Водици се фрла крстот во осветените води."
gevrek_1 "Ѓеврекот е вкусно пециво, често за појадок."
gevrek_2 "Ѓеврекот е најубав кога е топол и свеж."
grav_1 "Гравот е честа состојка во македонската кујна."
grav_2 "Гравот е богат со протеини и растителни влакна."
duduk_1 "Дудукот е традиционален македонски дувачки инструмент."
duduk_2 "Звукот на дудукот е меланхоличен и тажен."
elek_1 "Елекот е дел од народната носија."
elek_2 "Елекот често е украсен со везени детали."
zurla_1 "Зурлата е гласен дувачки инструмент, често свирен на прослави."
zurla_2 "Зурлата и тапанот секогаш одат заедно."
kemane_1 "Кемането е жичан инструмент сличен на виолина."
kemane_2 "Кемането е слично на гусла."
klarinet_1 "Кларинетот е популарен дувачки инструмент во оркестри."
klarinet_2 "Кларинетот е важен инструмент во народната музика."
kompot_1 "Компотот е сладок пијалок од овошје."
kompot_2 "Компотот од сливи е многу популарен."
limonada_1 "Лимонадата е освежителен пијалок од лимон."
limonada_2 "Домашната лимонада е најдобра во лето."
mekici_1 "Мекиците се традиционално македонско јадење, слично на крофни."
mekici_2 "Мекиците се јадат со сирење или шеќер."
musaka_1 "Мусаката е вкусно јадење со компири и мелено месо."
musaka_2 "Мусаката се пече во рерна додека не порумени."
niva_1 "На нивата се одгледуваат земјоделски култури."
niva_2 "Татко ми ја ораше нивата со трактор."
opinci_1 "Опинците се традиционални обувки, дел од народната носија."
opinci_2 "Опинците се прават од кожа."
pastrmajlija_1 "Пастрмајлијата е македонски специјалитет со месо."
pastrmajlija_2 "Пастрмајлијата е најпозната во источна Македонија."
pindzur_1 "Пинџурот е вкусен намаз од печени пиперки и домати."
pindzur_2 "Пинџурот се јаде со сирење и леб."
pita_1 "Питата може да биде со сирење, месо или зеленчук."
pita_2 "Мајка ми прави најубава пита со спанаќ."
polneti_piperki_1 "Полнетите пиперки се традиционално домашно јадење."
polneti_piperki_2 "Полнети пиперки се служат со кисело млеко."
sarma_1 "Сармата е јадење од кисела зелка полнета со месо и ориз."
sarma_2 "Сармата е традиционално јадење за празници."
stomna_1 "Стомната е сад за вода или вино."
stomna_2 "Во стомната виното останува ладно."
tapan_1 "Тапанот е голем ударен инструмент, често користен на прослави."
tapan_2 "Ритамoт на тапанот те тера да играш."
taratur_1 "Таратурот е лесна и освежителна салата."
taratur_2 "Таратурот е освежителна салата од краставици и јогурт."
turshija_1 "Туршијата е зимница од кисела зеленчук."
turshija_2 "Туршијата е одличен прилог со грав."
shopska_salata_1 "Шопската салата е свежа салата со домати, краставици и сирење."
shopska_salata_2 "Шопската салата е именувана по регионот Шоплук."
